Bedrijfstype,NatuurlijkeTerm_NL,NatuurlijkeTerm_ENG
T001061,Totaal alle bedrijfstypen,Total all business types
A009501,Totaal graasdierbedrijven,Total grazing animal businesses
A009502,Melkveebedrijven,Dairy businesses
A009503,Vleeskalverenbedrijven,Meat calve businesses
A009504,Overige rundveebedrijven,Other cattle businesses
B000078,Geiten- en andere graasdierbedrijven,Goat- and other grazer businesses
A009510,Totaal hokdierbedrijven,Total cage animal businesses
B000079,Varkensbedrijven,Pig businesses
B000080,Pluimveebedrijven,Poultry businesses
A009517,Overige hokdierbedrijven,Other cage animal businesses
B000081,Totaal overige landbouwbedrijven,Total other agricultural businesses
A009520,Totaal veeteeltcombinaties,Total livestock combinations
A009523,Gewas/veecombinaties,Crop/livestock combinations
B000082,"Akkerbouw, tuinbouw en gewascombinaties","Agriculture, horticulture and crop combinations"
