RegioS,NatuurlijkeTerm_NL,NatuurlijkeTerm_ENG
NL01,Nederland,Netherlands
LD01,Noord-Nederland,North-Netherlands
LD02,Oost-Nederland,East-Netherlands
LD03,West-Nederland,West-Netherlands
LD04,Zuid-Nederland,South-Netherlands
PV20,Groningen,Groningen
PV21,Friesland,Friesland
PV22,Drenthe,Drenthe
PV23,Overijssel,Overijssel
PV24,Flevoland,Flevoland
PV25,Gelderland,Gelderland
PV26,Utrecht,Utrecht
PV27,Noord-Holland,Noord-Holland
PV28,Zuid-Holland,Zuid-Holland
PV29,Zeeland,Zeeland
PV30,Noord-Brabant,Noord-Brabant
PV31,Limburg,Limburg
CG01,Concentratiegebied-Oost,Concentration region-East
CG02,Concentratiegebied-Zuid,Concentration region-South
CG03,Niet-concentratiegebied,Non concentration region
