Region,BusinessType,LagValue,MSE,R2
Niet-concentratiegebied,A009510,4,6133517.245992546,-0.5658622540346101
Niet-concentratiegebied,B000081,6,5286738.301399982,-19.596567160911132
Niet-concentratiegebied,A009502,3,16186791.668800935,-0.4533870702545644
Niet-concentratiegebied,B000082,7,40359.56360536124,-1.7290463745172882
Niet-concentratiegebied,B000079,2,535209.48511284,0.1523187079432533
Niet-concentratiegebied,T001061,3,19437691.08686486,-0.10342995662192589
Niet-concentratiegebied,A009501,3,16453373.41908968,-1.2451479499589628
Niet-concentratiegebied,A009517,5,24395.571394487546,0.13148677788612384
Niet-concentratiegebied,B000080,7,3472903.784539834,-1.0273416266699429
Niet-concentratiegebied,A009520,1,79282.22476403596,0.14923092538890703
Niet-concentratiegebied,A009503,9,283726.61071343865,-1.48085057458559
Niet-concentratiegebied,A009504,8,235114.94063490457,-0.04495529171068702
Niet-concentratiegebied,A009523,7,3398111.6730542053,-42.534526772224694
Niet-concentratiegebied,B000078,1,1505197.9973091853,0.14585233443993273
Utrecht,A009510,2,75922.93692990705,-0.1420322272496779
Utrecht,B000081,4,9159.895386543254,-0.593795234004626
Utrecht,A009502,3,1930750.0934202473,-3.6460658380209683
Utrecht,B000082,6,215.46346960414874,-0.36082191328936064
Utrecht,B000079,3,48446.97691443678,-0.5117371664381762
Utrecht,T001061,7,1831834.5634737958,-2.6561739703084593
Utrecht,A009501,3,2784804.325338216,-2.9729158445189547
Utrecht,A009517,2,14833.699637794438,-9.113886116678026
Utrecht,B000080,5,17039.648191198812,-0.6983038064317755
Utrecht,A009520,6,5026.198548090643,0.1607460680368128
Utrecht,A009503,3,19251.35224197568,-0.7518925194922259
Utrecht,A009504,9,5841.1776860307755,-3.7791453794797256
Utrecht,A009523,6,660.1232543841553,-1.1030475360911143
Utrecht,B000078,6,60003.191264059824,-0.2582216248288407
Concentratiegebied-Zuid,A009510,6,11762745.110243583,0.07522539293908204
Concentratiegebied-Zuid,B000081,7,312371.37547865923,0.4980037088369098
Concentratiegebied-Zuid,A009502,5,2860507.2061773445,0.461835229210516
Concentratiegebied-Zuid,B000082,8,3247.3975533381195,-0.459504518354211
Concentratiegebied-Zuid,B000079,1,2911823.110946171,0.08990043450046936
Concentratiegebied-Zuid,T001061,1,23322230.427653406,0.35104843561026733
Concentratiegebied-Zuid,A009501,4,1787569.003041709,0.49746764621290673
Concentratiegebied-Zuid,A009517,5,1202506.2000010815,-0.9847703565158694
Concentratiegebied-Zuid,B000080,5,2533456.9056367814,-0.5530400059074645
Concentratiegebied-Zuid,A009520,1,117077.34807983528,0.38163372493044745
Concentratiegebied-Zuid,A009503,9,120732.82584144344,-0.6888334357677821
Concentratiegebied-Zuid,A009504,8,22143.652500845754,0.5160445058095877
Concentratiegebied-Zuid,A009523,5,204548.57424274192,-0.11430129422230939
Concentratiegebied-Zuid,B000078,9,247683.30738439993,0.24205004498105276
Oost-Nederland,A009510,9,1404725.756213519,0.1977274465731501
Oost-Nederland,B000081,5,189446.75167700337,0.499832566196418
Oost-Nederland,A009502,3,8151851.799585238,-0.03042455429538715
Oost-Nederland,B000082,6,2826.3476086888004,-0.0917222522832275
Oost-Nederland,B000079,6,3973219.4658063077,-8.76667605095335
Oost-Nederland,T001061,4,7531962.897493365,0.4383720424301766
Oost-Nederland,A009501,3,10500345.930449916,-1.3650493108811017
Oost-Nederland,A009517,3,48057.25929276159,0.09477745158046402
Oost-Nederland,B000080,1,113091.50187587783,0.6904264926257022
Oost-Nederland,A009520,1,158791.55417617815,0.5506499956497628
Oost-Nederland,A009503,5,1206743.613741575,-2.1582797847139044
Oost-Nederland,A009504,8,215315.66104576644,-0.03427364035593983
Oost-Nederland,A009523,2,17198.882591524,0.05974218178456481
Oost-Nederland,B000078,1,928850.4235412179,-0.03348504251198703
Noord-Holland,A009510,1,13020.795226221206,-0.39799769801360996
Noord-Holland,B000081,1,30379.339745919555,-3.962142608226424
Noord-Holland,A009502,3,794976.8193726769,-16.83236681252188
Noord-Holland,B000082,1,3140.0617276898597,-0.8592470756058379
Noord-Holland,B000079,2,195.14351237622682,-0.03311271258002435
Noord-Holland,T001061,3,739051.2499847007,-9.7212463730856
Noord-Holland,A009501,3,119807.32371592392,-0.9032980247002607
Noord-Holland,A009517,,,
Noord-Holland,B000080,1,9643.288678348981,-0.10842398601712433
Noord-Holland,A009520,,,
Noord-Holland,A009503,1,59.51486269693253,-0.2603147394644536
Noord-Holland,A009504,9,10653.580848977756,-0.8977185084769874
Noord-Holland,A009523,1,15631.267366022934,-5.387351023573503
Noord-Holland,B000078,1,34671.33745916502,-0.12966616755357108
Zuid-Holland,A009510,4,49013.73952090711,-0.4558536491358547
Zuid-Holland,B000081,8,4310.747173161842,-0.17923174949716025
Zuid-Holland,A009502,1,843146.9024539696,0.27700140562513187
Zuid-Holland,B000082,8,109.26822176663426,-0.8731695159994444
Zuid-Holland,B000079,6,15246.233156931668,-0.5258948947721438
Zuid-Holland,T001061,1,939491.1002730777,0.3901652420496282
Zuid-Holland,A009501,1,735424.1056053377,0.32415535458083633
Zuid-Holland,A009517,5,1412.5062969650805,-0.34881237906479834
Zuid-Holland,B000080,4,5607.568877941117,-0.5328206500066832
Zuid-Holland,A009520,3,983.4034534669368,0.19539717443614257
Zuid-Holland,A009503,2,178.69412965565107,-2.0633279369540185
Zuid-Holland,A009504,9,77843.7964143197,-13.32707909466007
Zuid-Holland,A009523,6,1639.681538441216,-0.4292623579632877
Zuid-Holland,B000078,4,31827.483574745012,-0.3358859842495283
Noord-Nederland,A009510,7,2320083.765553663,-2.1255689235637334
Noord-Nederland,B000081,7,399956.6730370154,-11.772500868741735
Noord-Nederland,A009502,3,8011219.838578482,-2.663700187740813
Noord-Nederland,B000082,6,1791.6170810029805,-0.21009784082752914
Noord-Nederland,B000079,2,134425.45300046413,-0.1503556879377932
Noord-Nederland,T001061,3,1373910.803603485,0.579417921223959
Noord-Nederland,A009501,3,11015612.510891346,-6.44274395133955
Noord-Nederland,A009517,2,3578.970455303965,-0.10689807895998915
Noord-Nederland,B000080,7,2033683.4234047097,-4.046604346954262
Noord-Nederland,A009520,8,18553.147855815285,0.1976053305990505
Noord-Nederland,A009503,2,14624.497392718384,-1.3535176850150283
Noord-Nederland,A009504,9,60718.15087184344,-4.811894260532741
Noord-Nederland,A009523,7,212412.0788416101,-18.271257152968666
Noord-Nederland,B000078,1,147666.56099605854,0.1598318088508356
Zuid-Nederland,A009510,6,13444001.771241201,0.04503618768126516
Zuid-Nederland,B000081,7,460978.2757766203,0.3455550807857837
Zuid-Nederland,A009502,5,4545713.6912011495,0.4034235498664225
Zuid-Nederland,B000082,5,3008.56508360209,-0.23639660969948895
Zuid-Nederland,B000079,1,2878011.494257116,0.13007793572120285
Zuid-Nederland,T001061,1,26324257.71540006,0.3886607152217181
Zuid-Nederland,A009501,4,2868609.4093834627,0.4671932374321627
Zuid-Nederland,A009517,5,1240536.4832165786,-1.0145756016887706
Zuid-Nederland,B000080,4,2700633.209299291,-0.44923494065454417
Zuid-Nederland,A009520,1,127515.23867897123,0.3836535187375183
Zuid-Nederland,A009503,9,155941.0886737796,-1.1287271319035588
Zuid-Nederland,A009504,8,30345.5629884596,0.6316416806876807
Zuid-Nederland,A009523,6,261909.72944879133,-0.292601209168196
Zuid-Nederland,B000078,9,315151.24510953366,0.25656777621613336
