Region,BusinessType,LagValue,R2
Niet-concentratiegebied,A009510,1,-0.10095000384301844
Niet-concentratiegebied,B000081,8,-1.8330130787275847
Niet-concentratiegebied,A009502,1,0.32875595017771875
Niet-concentratiegebied,B000082,8,0.041685526972373155
Niet-concentratiegebied,B000079,3,0.41399560458471607
Niet-concentratiegebied,T001061,2,-0.17512554241805534
Niet-concentratiegebied,A009501,1,0.3759604624922255
Niet-concentratiegebied,A009517,7,0.06663451427451961
Niet-concentratiegebied,B000080,6,-1.8273313012514354
Niet-concentratiegebied,A009520,1,-1.8899076700326005
Niet-concentratiegebied,A009503,4,0.5587532585186696
Niet-concentratiegebied,A009504,8,0.41160357023330474
Niet-concentratiegebied,A009523,7,-12.006817230808759
Niet-concentratiegebied,B000078,9,-9.588949624626526
Utrecht,A009510,2,-6.194177948645367
Utrecht,B000081,9,-5.4768305977565666
Utrecht,A009502,9,-3.871906989600552
Utrecht,B000082,1,-0.2210687148847137
Utrecht,B000079,3,-0.09869203765191914
Utrecht,T001061,3,-1.0450941709920816
Utrecht,A009501,9,-0.6978815191509915
Utrecht,A009517,1,-1.0459876218121478
Utrecht,B000080,2,-8.711695542209375
Utrecht,A009520,8,0.025541147035427314
Utrecht,A009503,7,-0.3071531450133147
Utrecht,A009504,1,-7.982031956914955
Utrecht,A009523,2,-1.0145517759506615
Utrecht,B000078,9,-13.134954433479173
Concentratiegebied-Zuid,A009510,1,-0.32283162561120804
Concentratiegebied-Zuid,B000081,3,-17.083211798227307
Concentratiegebied-Zuid,A009502,9,-4.0582759240034845
Concentratiegebied-Zuid,B000082,3,-5.789771116829869
Concentratiegebied-Zuid,B000079,1,-0.11635993590026739
Concentratiegebied-Zuid,T001061,2,-35.514675844886774
Concentratiegebied-Zuid,A009501,9,-4.141780395434927
Concentratiegebied-Zuid,A009517,1,-0.14335167947673533
Concentratiegebied-Zuid,B000080,8,-16.957830693592843
Concentratiegebied-Zuid,A009520,3,-1.5196899916395732
Concentratiegebied-Zuid,A009503,5,-0.5736213146972733
Concentratiegebied-Zuid,A009504,9,0.629279403315694
Concentratiegebied-Zuid,A009523,1,-13.203638247046749
Concentratiegebied-Zuid,B000078,1,-4.928760281701248
Oost-Nederland,A009510,1,0.12414505424734557
Oost-Nederland,B000081,9,-2.714967593844455
Oost-Nederland,A009502,9,-3.7441506473911685
Oost-Nederland,B000082,4,-43.126553844606306
Oost-Nederland,B000079,3,0.10373969028316687
Oost-Nederland,T001061,2,-0.3795252181956905
Oost-Nederland,A009501,9,-1.246577701430522
Oost-Nederland,A009517,1,-0.8243883508715815
Oost-Nederland,B000080,1,-25.60909570621234
Oost-Nederland,A009520,4,-6.775398627005087
Oost-Nederland,A009503,5,0.4841640559305055
Oost-Nederland,A009504,8,0.6980945462345396
Oost-Nederland,A009523,9,-8.975072416534191
Oost-Nederland,B000078,7,-36.705272052503126
Noord-Holland,A009510,3,-7.212419942099782
Noord-Holland,B000081,6,-1.0957047729711147
Noord-Holland,A009502,4,0.531140591240246
Noord-Holland,B000082,6,0.4683756963480047
Noord-Holland,B000079,3,-0.16119489198418657
Noord-Holland,T001061,1,0.21678787435981217
Noord-Holland,A009501,5,0.10142164358504413
Noord-Holland,A009517,1,0.0
Noord-Holland,B000080,5,-8.286650592729513
Noord-Holland,A009520,2,-0.7325323022825332
Noord-Holland,A009503,1,1.0
Noord-Holland,A009504,3,0.3008691903707068
Noord-Holland,A009523,9,-0.11480393791825061
Noord-Holland,B000078,9,0.1341009938183778
Zuid-Holland,A009510,3,0.1566894745795837
Zuid-Holland,B000081,6,-0.027892166698526344
