Region,LagValue,R2,MSE
Lithuania,9,0.0,1.4337790448723433e-10
Eastern Europe,8,0.9193178814296104,2.1329037459637747e-08
United Kingdom of Great Britain and Northern Ireland,4,0.379743456318968,3.466544905241352e-09
Faroe Islands,1,-0.02437498069323163,4.5293308868561277e-07
Italy,6,0.9748718599425769,3.608184531039917e-08
North Macedonia,7,0.16513825395931625,2.782872486807845e-11
Poland,8,0.9461649811421495,2.1011344280890284e-07
Bosnia and Herzegovina,6,-2.731948532477703,1.3393548622119113e-08
Norway,4,-40.407012785201594,3.117948062726047e-06
Albania,5,0.9857641475737745,2.982085635890151e-07
Åland Islands,2,0.0,3.5987051079011443e-06
Andorra,1,-0.5395556962445616,2.534963984738885e-07
Luxembourg,7,0.996285646228747,1.4754238591364982e-10
Switzerland,9,-0.2596492752063795,1.0147174716902304e-10
San Marino,8,-4.249609847909639,3.281006154943773e-09
Malta,7,0.0,6.292927898905736e-12
Bulgaria,4,0.7884899261362618,1.175055965914616e-11
Gibraltar,5,0.9583160964390016,2.866251208368242e-07
Northern Europe,4,-1.3225771373065385,5.159805148400744e-08
Hungary,9,0.11088085743874809,8.429343426561291e-09
Monaco,1,-1.4728840053505619,2.8523617942161705e-06
Germany,8,-0.9647734879378691,5.201192038901992e-09
Holy See,9,0.0,5.359372008861351e-10
Slovenia,7,0.9642345160597068,2.4185415028954956e-09
Republic of Moldova,3,0.9232759598493787,1.2741305601013003e-08
Finland,3,0.0,3.6400667432401683e-10
Denmark,1,-9.602343231380212,3.348573403911239e-08
Romania,7,0.9477188449554148,1.7325393880056658e-10
Slovakia,9,0.9831255707589772,1.7080672265078878e-10
Spain,5,-1.3148978406339067,8.186764818837659e-07
Belgium,9,0.9407181491428348,3.0642130020839528e-09
Greece,7,-2.3145726311329864,6.953052665497376e-06
Southern Europe,8,0.9085631968781807,1.0241370402714791e-07
Russian Federation,4,0.33417529148088376,1.2909601292950722e-08
Western Europe,1,0.9732645148774395,2.5483556606941782e-08
Austria,8,-1.3263000291102673,8.529766773409322e-09
Croatia,1,-0.9466923775951375,5.304736728948175e-09
France,7,0.9976400652535244,8.485622612201457e-08
Czechia,6,0.9876761068546503,3.5273720824912323e-10
Iceland,1,-5.3706771170722565,4.6654592087353457e-07
Belarus,7,0.9909127561554986,4.3718856347616084e-08
Sweden,7,-26.58360360249013,6.895900900559765e-10
Portugal,2,-1.521105550832504,4.894509331741115e-06
Ukraine,6,0.6267604827123001,3.328570750700603e-08
Latvia,3,0.0,1.8062577727613482e-10
Montenegro,6,0.9897000993987293,2.1458355139327229e-07
Serbia,2,-57.03227445015751,1.6249036846040095e-07
Estonia,3,-1.2776156521312885e+23,1.5747828747887837e-09
Ireland,3,-0.7791326626645547,3.965983227190575e-08
Netherlands,9,0.9841327071032178,8.380293113110297e-08
Liechtenstein,8,-0.6896235611478818,2.4593409612250276e-09
Svalbard and Jan Mayen Islands,5,-78.29364564864105,4.040980390355975e-05
